"free surface(time), created by Plot Digitizer, 2.6.8"
"Date: 07/08/17, 10:35:24"


37
time,free surface
0,0,
2.40000,0.200000,
4.60000,1,
6,1.50000,
7.70000,2.15000,
9.01554,2.46114,
10.1554,2.70000,
10.9845,2.90155,
12.2280,3.78238,
13.0570,4.76684,
14.1000,4.35233,
15.9000,1.77636e-15,
16.9948,-1.76166,
17.9275,-1.60000,
18.9637,-0.803109,
19.6891,-0.640000,
22.2798,-0.100000,
23.9378,0.388601,
25,0.650000,
